concept,label
anIncreaseInIntensity,an increase in intensity
aRaiseInValueOrWorth,a raise in value or worth
aWidowSDevotionToHerHusbandSMemory,a widow’s devotion to her husband’s memory
breakingThroughToABetterPlaneOfExistence,breaking through to a better plane of existence
channelOfTruthFromAHigherNatureToALowerOne,channel of truth from a higher nature to a lower one
chastisement,chastisement
SanyN,Ọsanyìn
aDeity,a deity
anat,Anat
artemisDiana,Artemis/Diana
boniface,Boniface
divinities,divinities
euphemismForPenis,euphemism for penis
goingFromDarknessToLightFromEarthToHeaven,"going from darkness to light, from earth to heaven"
josephEspeciallyWhenShownWithCarpenterSTools,Joseph (especially when shown with carpenter’s tools)
lightning,lightning
lumberjacks,lumberjacks
placeOfPhysicalMoralOrMysticalTransmutation,"place of physical, moral, or mystical transmutation"
primitiveWarfare,primitive warfare
prolcus,Prolcus
recordingAngel,recording angel
regainingParadise,regaining Paradise
sacrifice,sacrifice
seversTheCycleOfBirthAndDeath,severs the cycle of birth and death
teshub,Teshub
theCriticalFaculty,the critical faculty
theExternalizationOfInnerEmotionsThoughtsPurposes,"the externalization of inner emotions, thoughts, purposes"
theFecundityOfRain,the fecundity of rain
theHumanConditionBeingTranscendedAndAHigherSpiritualLevelBeingAttained,the human condition being transcended and a higher spiritual level being attained
theUniqueForceFromWhichAllLivingThingsCome,the unique force from which all living things come
theWisdomOfTheLord,the wisdom of the Lord
thomasOfCanterbury,Thomas of Canterbury
adonis,Adonis
alabama,Alabama
albania,Albania
apollo,Apollo
argentina,Argentina
aruba,Aruba
athenaMinerva,Athena/Minerva
australia,Australia
authority,authority
buddhism,Buddhism
carpenters,carpenters
chhattisgarh,Chhattisgarh
chief,chief
delaware,Delaware
destruction,destruction
dionysusBacchus,Dionysus/Bacchus
eastGermany,East Germany
esus,Esus
execution,execution
fertility,fertility
gujarat,Gujarat
hades,Hades
help,help
illinois,Illinois
india,India
indonesia,Indonesia
intercidona,Intercidona
iraq,Iraq
jharkhand,Jharkhand
johnTheBaptist,John the Baptist
judgment,judgment
judgment,Judgment
justice,justice
justice,Justice
laos,Laos
maahes,Maahes
martyrdom,martyrdom
maryland,Maryland
militaryService,military service
newfoundlandAndLabrador,Newfoundland and Labrador
newMexico,New Mexico
oman,Oman
osiris,Osiris
parashurama,Parashurama
perun,Perun
punishment,punishment
qatar,Qatar
ramman,Ramman
reintegration,reintegration
russia,Russia
skyGods,sky gods
sovereignty,sovereignty
ssMatthew,SS Matthew
strength,strength
strength,Strength
support,support
tammuz,Tammuz
theIsleOfMan,the Isle of Man
thePhilippines,the Philippines
thePowerOfLight,the power of light
theSolar,the solar
theSun,the sun
