,symbol,label,translation
0,aMGPDT,A.M.G.P.D.T.,AMGPDT
1,broomSweeping,broom (sweeping),bezem (vegen)
2,zither,zither,citer
3,almsBowl,alms bowl,aalmoeskom
4,almuce,almuce,almuce
5,alnusNepalensis,Alnus nepalensis,Alnus nepalensis
6,alohaOe,Aloha ʻOe,Aloha Oe
7,alohaShirt,Aloha shirt,Aloha-shirt
8,alphaUrsaeMajoris,Alpha Ursae Majoris,Alpha Ursae Majoris
9,alphorn,Alphorn,alpenhoorn
10,alpineMuskDeer,Alpine musk deer,Alpine muskushert
11,alsophilaDealbata,Alsophila dealbata,Alsophila dealbata
12,alstoniaScholaris,Alstonia scholaris,Alstonia geleerde
13,althaeaFrutex,althaea frutex,althaea frutex
14,alYoung,Al Young,Al Young
15,aM,A.M.,BEN
16,aMariUsqueAdMare,A mari usque ad mare,Een mari usque ad mare
17,amazement,amazement,verbazing
18,amazone,amazone,amazone
19,amazonWoman,Amazon Woman,Amazone Vrouw
20,ambrosiaPlant,ambrosia (plant),ambrozijn (plant)
21,americaFootball,america-football,amerika-voetbal
22,americanBadger,American badger,Amerikaanse das
23,americanCreed,American Creed,Amerikaanse Geloofsbelijdenis
24,americanFlag,American Flag,Amerikaanse vlag
25,americanFlamingo,American flamingo,Amerikaanse flamingo
26,americanGoldfinch,American goldfinch,Amerikaanse distelvink
27,americanShad,American shad,Amerikaanse shad
28,amhrNNaBhfiann,Amhrán na bhFiann,Amhrán en bhFiann
29,ammit,Ammit,Ammit
30,ammolite,Ammolite,Ammoliet
31,amorphophallusTitanum,Amorphophallus titanum,Amorphophallus titanum
32,analogion,analogion,analogie
33,andDidThoseFeetInAncientTime,And did those feet in ancient time,En deden die voeten in de oudheid
34,andriyivskyyDescent,Andriyivskyy Descent,Andriyivskyy-afdaling
35,anemoneCoronaria,Anemone coronaria,Anemoon coronaria
36,anemones,anemones,anemonen
37,angelOfIndependence,Angel of Independence,Engel van Onafhankelijkheid
38,angkorWat,Angkor Wat,Angkor Wat
39,angolaAvante,Angola Avante,Angola Avante
40,angrecum,angrecum,angrecum
41,anigozanthosManglesii,Anigozanthos manglesii,Anigozanthos manglesii
42,animusInConsulendoLiber,Animus in consulendo liber,Animus in consulendo liber
43,ankles,ankles,enkels
44,annuitCPtis,Annuit cœptis,Annuit cœptis
45,anthemOfEurope,Anthem of Europe,Volkslied van Europa
46,anthemOfMayDay,Anthem of May Day,Volkslied van May Day
47,anthemOfTheArmenianSovietSocialistRepublic,Anthem of the Armenian Soviet Socialist Republic,Volkslied van de Armeense Socialistische Sovjetrepubliek
48,anthemOfTheAzerbaijanSovietSocialistRepublic,Anthem of the Azerbaijan Soviet Socialist Republic,Volkslied van de Socialistische Sovjetrepubliek Azerbeidzjan
49,anthemOfTheBulgarianEducation,Anthem of the Bulgarian Education,Volkslied van het Bulgaarse onderwijs
50,anthemOfTheByelorussianSovietSocialistRepublic,Anthem of the Byelorussian Soviet Socialist Republic,Volkslied van de Wit-Russische Socialistische Sovjetrepubliek
51,anthemOfTheGeorgianSovietSocialistRepublic,Anthem of the Georgian Soviet Socialist Republic,Volkslied van de Georgische Socialistische Sovjetrepubliek
52,anthemOfTheKazakhSovietSocialistRepublic,Anthem of the Kazakh Soviet Socialist Republic,Volkslied van de Kazachse Socialistische Sovjetrepubliek
53,anthemOfTheKirghizSovietSocialistRepublic,Anthem of the Kirghiz Soviet Socialist Republic,Volkslied van de Kirgizische Socialistische Sovjetrepubliek
54,anthemOfTheMoldavianSovietSocialistRepublic,Anthem of the Moldavian Soviet Socialist Republic,Volkslied van de Moldavische Socialistische Sovjetrepubliek
55,anthemOfTheRepublicOfKazakhstan,Anthem of the Republic of Kazakhstan,Volkslied van de Republiek Kazachstan
56,anthemOfTheTajikSovietSocialistRepublic,Anthem of the Tajik Soviet Socialist Republic,Volkslied van de Tadzjiekse Socialistische Sovjetrepubliek
57,anthemOfTheTurkmenSovietSocialistRepublic,Anthem of the Turkmen Soviet Socialist Republic,Volkslied van de Turkmeense Socialistische Sovjetrepubliek
58,anthemOfTheUzbekSovietSocialistRepublic,Anthem of the Uzbek Soviet Socialist Republic,Volkslied van de Oezbeekse Socialistische Sovjetrepubliek
59,anthropomorphicRepresentationOfMotherEarth,anthropomorphic representation of Mother Earth,antropomorfe representatie van Moeder Aarde
60,antichrist,Antichrist,Antichrist
61,antigoSoil,Antigo (soil),Antigo (bodem)
62,aNuevoMXico,A Nuevo México,Een Nuevo México
63,anythingRelatingToBeauty,anything relating to Beauty.,alles wat met schoonheid te maken heeft.
64,apacheTrout,Apache trout,Apache forel
65,aPortuguesa,A Portuguesa,Een Portugees
66,appleOfDiscord,Apple of Discord,Twistappel
67,aqueduct,aqueduct,aquaduct
68,aquilariaMalaccensis,Aquilaria malaccensis,Aquilaria malaccensis
69,aquilegiaCoerulea,Aquilegia coerulea,Aquilegia coerulea
70,aquilegiaSaximontana,Aquilegia saximontana,Aquilegia saximontana
71,arasRiver,Aras (river),Aras (rivier)
72,archeryInBhutan,Archery in Bhutan,Boogschieten in Bhutan
73,ardulfurataini,Ardulfurataini,Ardulfurataini
74,argentineNationalAnthem,Argentine National Anthem,Argentijns volkslied
75,argentineWine,Argentine wine,Argentijnse wijn
76,arirang,Arirang,Arirang
77,ariseOCompatriots,"Arise, O Compatriots","Sta op, landgenoten"
78,aristotle,Aristotle,Aristoteles
79,arizonaTreeFrog,Arizona tree frog,Arizona boomkikker
80,arkansasSong,Arkansas (song),Arkansas (lied)
81,arkansasYouRunDeepInMe,Arkansas (You Run Deep in Me),Arkansas (Je loopt diep in mij)
82,armageddon,Armageddon,Armageddon
83,armAndHammer,Arm and hammer,Arm en hamer
84,armenianCross,Armenian Cross,Armeens kruis
85,armenianEternitySign,Armenian eternity sign,Armeens eeuwigheidsteken
86,armorialOfGibraltar,Armorial of Gibraltar,Wapenschild van Gibraltar
87,armorialOfGovernorsGeneralAndPresidentsOfSouthAfrica,Armorial of Governors-General and Presidents of South Africa,Wapenschild van gouverneurs-generaal en presidenten van Zuid-Afrika
88,armorialOfIndonesia,Armorial of Indonesia,Wapenschild van Indonesië
89,armorialOfUkraine,Armorial of Ukraine,Wapenschild van Oekraïne
90,armorialOfVenezuela,Armorial of Venezuela,Wapenschild van Venezuela
91,armour,armour,schild
92,bloodPheasant,Blood pheasant,Bloed fazant
93,blueberry,Blueberry,Bosbes
94,blueberryPie,Blueberry pie,Bosbessen taart
95,blueCrane,Blue crane,Blauwe kraan
96,bluegill,Bluegill,Bluegill
97,blueHillsOfMassachusetts,Blue Hills of Massachusetts,Blue Hills van Massachusetts
98,bluenose,Bluenose,Blauwe neus
99,bluenoseIi,Bluenose II,Bluenose II
100,blueRockThrush,Blue rock thrush,Blauwe rotslijster
101,blueSpruce,Blue spruce,Blauwe spar
102,blueWaterLilyOrBlueLotus,Blue Water-Lily Or Blue Lotus,Blauwe waterlelie of blauwe lotus
103,blythSTragopan,Blyth's tragopan,Blyth&#39;s tragopan
104,boEPravde,Bože pravde,Bože pravde
105,bogurodzica,Bogurodzica,Bogurodzica
106,bohdanKhmelnytskyMonumentKyiv,"Bohdan Khmelnytsky Monument, Kyiv","Bohdan Khmelnytsky-monument, Kiev"
107,bohemianCrownJewels,Bohemian Crown Jewels,Boheemse kroonjuwelen
108,boilDisease,boil (disease),koken (ziekte)
109,boiledPeanuts,Boiled peanuts,Gekookte pinda&#39;s
110,bollettinoDellaVittoria,Bollettino della Vittoria,Bollettino della Vittoria
111,bollettinoDellaVittoriaNavale,Bollettino della Vittoria Navale,Bollettino della Vittoria Navale
112,bomb,bomb,bom
113,bombaxCeiba,Bombax ceiba,Bombax ceiba
114,bonnevilleCutthroatTrout,Bonneville cutthroat trout,Bonneville moordende forel
115,bonsaiTree,bonsai tree,Bonsai boom
116,boringDrilling,boring (drilling),saai (boren)
117,borjgali,Borjgali,Borjgali
118,borscht,Borscht,Borsjt
119,bostonCreamPie,Boston cream pie,Boston slagroomtaart
120,bostonTerrier,Boston Terrier,Boston terrier
121,bottlenoseDolphin,Bottlenose dolphin,Tuimelaar
122,bottomlessPitOrWell,bottomless pit or well,bodemloze put of put
123,boutelouaCurtipendula,Bouteloua curtipendula,Bouteloua curtipendula
124,bowAndArrow,Bow and arrow,Pijl en boog
125,bowenite,Bowenite,Bowenite
126,bowheadWhale,Bowhead whale,Groenlandse walvis
127,bowstringOfStingingBeesOrFlowers,bowstring of stinging bees or flowers,boogpees van stekende bijen of bloemen
128,box,box,doos
130,boxingKangaroo,Boxing kangaroo,Bokskangoeroe
131,boxLacrosse,Box lacrosse,Doos lacrosse
132,boyneRiver,Boyne River,Boyne River
133,brandenburgGate,Brandenburg Gate,Brandenburger Tor
134,brazilianNationalAnthem,Brazilian National Anthem,Hino Nacional Brasileiro
135,bridalTorch,Bridal torch,Bruids fakkel
136,briers,briers,doornstruiken
137,brigidSCross,Brigid's cross,Brigid&#39;s kruis
138,brihaspati,Brihaspati,Brihaspati
139,britannia,Britannia,Britannia
140,britishcrown,British Crown,Britse Kroon
141,britishEnsign,British ensign,Britse vlag
142,broccoli,broccoli,broccoli
143,brooklynBridge,Brooklyn Bridge,Brooklyn Bridge
144,brotherhoodLinks,Brotherhood Links,Broederschap Links
145,brownPelican,Brown pelican,bruine pelikaan
146,brownThrasher,Brown thrasher,Bruine thrasher
147,bryony,bryony,bryony
148,bTchamriengNeySathAranakrThPracheameanitKMpChA,Bâtchamrieng ney Sathéaranakrâth Pracheameanit Kâmpŭchéa,Bâtchamrieng ney Sathéaranakrâth Pracheameanit Kâmpŭchéa
149,bucentaur,Bucentaur,Bucentaur
150,bucephalus,Bucephalus,Bucephalus
151,buckbean,buckbean,bokbean
152,buckingHorseAndRider,Bucking Horse and Rider,Bokend paard en ruiter
153,buckler,buckler,beukelaar
154,bulavaOfThePresidentOfUkraine,Bulava of the President of Ukraine,Bulava van de president van Oekraïne
155,bullfight,bullfight,stierengevecht
156,bullTrout,Bull trout,Stierenforel
157,bullWithThreeCranes,Bull with three cranes,Stier met drie kranen
158,burdock,burdock,klit
159,burundiBwacu,Burundi Bwacu,Burundi Bwacu
160,buteaMonosperma,Butea monosperma,Butea monosperma
161,butterburr,butterburr,boterham
162,cabinet,cabinet,kabinet
163,cable,cable,kabel
164,bell,Bell,Klok
165,bellClapper,bell clapper,klok klepel
166,bellflower,bellflower,klokje
167,bellOnACrutch,bell on a crutch,bel op een kruk
168,bellOnARope,bell on a rope,bel aan een touw
169,bellOrClockTower,bell or clock tower,bel of klokkentoren
170,bellows,bellows,blaasbalg
171,bellRinging,bell ringing,bel rinkelen
172,bellsAndPomegranatesOnVestments,bells and pomegranates on vestments,bellen en granaatappels op gewaden
173,bellsOnOneSPerson,bells on one’s person,klokken op iemands persoon
174,bellTower,bell tower,klokkentoren
175,bellyOfTheWhale,belly of the whale,buik van de walvis
176,belshazzarKing,"Belshazzar, King","Belsazar, koning"
177,belt,belt,riem
179,axe,axe,bijl
180,azerbaijaniRug,Azerbaijani rug,Azerbeidzjaans tapijt
181,azRbaycanMar,Azərbaycan marşı,Azərbaycan marşı
182,babingtonite,Babingtonite,Babetoniet
183,bagalaMukhi,Bagala-mukhi,Bagala-mukhi
184,bagFullOfMoney,bag full of money,zak vol geld
185,bahrainona,Bahrainona,Bahreinon
186,baitulMukarramNationalMosque,Baitul Mukarram National Mosque,Nationale moskee Baitul Mukarram
187,baldEagle,Bald eagle,Amerikaanse zeearend
188,baltimoreCheckerspot,Baltimore checkerspot,Baltimore checkerspot
189,bamaSoil,Bama (soil),Bama (bodem)
190,bandura,Bandura,Bandura
191,bangamata,Bangamata,Bangamata
192,banjo,banjo,banjo
193,bannackMontana,"Bannack, Montana","Bannack, Montana"
194,bannerOfPoland,Banner of Poland,Banier van Polen
195,banyan,Banyan,Banyan
196,barbadianNationalHeroes,Barbadian National Heroes,Barbadiaanse nationale helden
197,barbadosNationalPledge,Barbados National Pledge,Nationale Belofte van Barbados
198,barbaryMacaquesInGibraltar,Barbary macaques in Gibraltar,Barbarijse makaken in Gibraltar
199,barnSwallow,Barn swallow,Boerenzwaluw
200,barongTagalog,Barong tagalog,Barong tagalog
201,baroTSaya,Baro't saya,Baro&#39;t saya
202,basilisk,basilisk,basilisk
203,batik,Batik,Batik
204,bauhiniaBlakeana,Bauhinia × blakeana,Bauhinia × blakeana
205,bauhiniaVariegata,Bauhinia variegata,Bauhinia variegata
206,bayTopography,bay (topography),baai (topografie)
207,beardedCrepis,bearded crepis,bebaarde crepi&#39;s
208,beautifulNebraska,Beautiful Nebraska,Mooi Nebraska
209,beautifulOhio,Beautiful Ohio,Mooi Ohio
210,beautifulWoman,Beautiful woman,Mooie vrouw
211,beckoningHand,Beckoning hand,wenkende hand
212,beehiveCluster,Beehive Cluster,Bijenkorf Cluster
213,bees,bees,bijen
